FAS OrgCode Name,FAS Budget Name,FAS Budget,Balancing Unit RefID,Cost Center RefID,Resource RefID,Fund RefID,Function RefID,Program RefID,Grant RefID,Stand-Alone Grant RefID,Gift RefID,,FAS Budget Status,FAS Budget Status Name,FAS Close to Budget,FAS Budget Type,FAS Budget Type Name,FAS Budget Class,FAS Budget Class Name,Conversion Row?,,Cost Center Name,,Program Name,,Stand-Alone Grant Name,Assignee RefID,Assignee Name,,Grant Name,,Gift Name,,Fund Name,Appropriation RefID,Appropriation Name,,Resource Name,,Function Name,Company RefID,Company Name,,Balancing Unit Name,linereference,Report Run Time
AQUATIC&FISHERY SCIENC,SAFS TEMP,61201,BU133,CC103502,RS100216,FD116,FN100,PG107622,,,,,1,Open to revenue and expenditures,511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Administrative,,CoEnv | Aquatic and Fishery Sciences (SAFS) | Administrative,,,AS112849,"Foxworthy, Kenyon (kenyonf)",,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Instruction,UW1861,University of Washington,,College of the Environment,6869,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,FISHERIES,61210,BU133,CC100948,RS100216,FD116,FN170,PG107622,,,,,1,Open to revenue and expenditures,511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Academic Operations,,CoEnv | Aquatic and Fishery Sciences (SAFS) | Administrative,,,AS112849,"Foxworthy, Kenyon (kenyonf)",,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Non-Research Scholarships and Fellowships,UW1861,University of Washington,,College of the Environment,18440,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,SCHEUERELL SU,66233,BU133,CC100949,RS100216,FD116,FN130,PG107268,,GR000467,,,1,Open to revenue and expenditures,511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Research Administration and Support,,"CoEnv | Aquatic and Fishery Sciences (SAFS) | Faculty Labs- Scheuerell, M.",,"CoEnv | Aquatic and Fishery Sciences (SAFS)| Faculty Startup - Scheuerell, M.",AS105817,"Scheuerell, Mark D. (scheuerl)",,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Academic Support,UW1861,University of Washington,,College of the Environment,512,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,POP HEALTH INIT GRANT,66236,BU133,CC100950,RS100216,FD116,FN110,PG107303,,,,,3,"Closed to all expenditures and revenue, but allows for JVs",511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Research and Engagement Activities,,"CoEnv | Aquatic and Fishery Sciences (SAFS) | Faculty Labs- Wood, C.",,,AS105821,"Wood, Chelsea L. (chelwood)",,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Research - Basic,UW1861,University of Washington,,College of the Environment,6926,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,SAFS DEPT REV,66255,BU133,CC103598,RS100081,FD101,FN120,PG107622,,,,,1,Open to revenue and expenditures,      ,10,AUX ED ACTIV/SELF-SUST,1,STAND ALONE SELF-SUST,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Special Operations,,CoEnv | Aquatic and Fishery Sciences (SAFS) | Administrative,,,AS112849,"Foxworthy, Kenyon (kenyonf)",,,,,,Dedicated Local Fund,,,,Auxiliary - Educational Activity Resource,,Public Service,UW1861,University of Washington,,College of the Environment,18589,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,BERDAHL COENV START UP,66260,BU133,CC100949,RS100216,FD116,FN130,PG107293,,GR000470,,,1,Open to revenue and expenditures,511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Research Administration and Support,,"CoEnv | Aquatic and Fishery Sciences (SAFS) | Faculty Labs- Berdahl, A,",,"CoEnv | Aquatic and Fishery Sciences (SAFS)| Faculty Startup 1 - Berdahl, A.",AS104460,"Berdahl, Andrew (berdahl)",,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Academic Support,UW1861,University of Washington,,College of the Environment,519,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,CS4ENV-PADILLA,66297,BU133,CC100949,RS100216,FD116,FN130,PG107263,,GR005438,,,1,Open to revenue and expenditures,511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Research Administration and Support,,"CoEnv | Aquatic and Fishery Sciences (SAFS) | Faculty Labs- Padilla Gamino, J.",,CoEnv | Aquatic and Fishery Sciences (SAFS) | Computing for the Environment (CS4ENV) - PADILLA 06-6297,,,,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Academic Support,UW1861,University of Washington,,College of the Environment,59532,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,CS4ENV-BRANCH,66302,BU133,CC100949,RS100216,FD116,FN130,PG107257,,GR005443,,,1,Open to revenue and expenditures,511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Research Administration and Support,,"CoEnv | Aquatic and Fishery Sciences (SAFS) | Faculty Labs- Branch, T.",,CoEnv | Aquatic and Fishery Sciences (SAFS) | Computing for the Environment (CS4ENV) - Branch 06-6302,,,,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Academic Support,UW1861,University of Washington,,College of the Environment,59535,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,NEL SU,66306,BU133,CC100949,RS100216,FD116,FN130,,,,,,1,Open to revenue and expenditures,511000,1,GENERAL UNIVERSITY,11,REGULAR STATE,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Research Administration and Support,,,,,AS112857,"Nel, Ronel (ronel)",,,,,,Operating Fees Fund,,,,General Operating Fund (GOF) Operating Fee Resource,,Academic Support,UW1861,University of Washington,,College of the Environment,65731,6/28/2023 8:28:39
AQUATIC&FISHERY SCIENC,FISHERIES MISC REV,69306,BU133,CC100948,RS100081,FD101,FN170,PG107622,,,,,1,Open to revenue and expenditures,      ,10,AUX ED ACTIV/SELF-SUST,1,STAND ALONE SELF-SUST,Yes,,CoEnv | Aquatic and Fishery Sciences (SAFS) - Academic Operations,,CoEnv | Aquatic and Fishery Sciences (SAFS) | Administrative,,,AS112849,"Foxworthy, Kenyon (kenyonf)",,,,,,Dedicated Local Fund,,,,Auxiliary - Educational Activity Resource,,Non-Research Scholarships and Fellowships,UW1861,University of Washington,,College of the Environment,18918,6/28/2023 8:28:39
